,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
543,544,2,0,32.0,1,0,26.0,0,0,1
684,685,2,0,60.0,1,1,39.0,0,0,1
607,608,1,0,27.0,0,0,30.5,0,0,1
748,749,1,0,19.0,1,0,53.1,0,0,1
233,234,3,1,5.0,4,2,31.3875,0,0,1
640,641,3,0,20.0,0,0,7.8542,0,0,1
706,707,2,1,45.0,0,0,13.5,0,0,1
610,611,3,1,39.0,1,5,31.275,0,0,1
646,647,3,0,19.0,0,0,7.8958,0,0,1
147,148,3,1,9.0,2,2,34.375,0,0,1
573,574,3,1,,0,0,7.75,0,1,0
808,809,2,0,39.0,0,0,13.0,0,0,1
534,535,3,1,30.0,0,0,8.6625,0,0,1
587,588,1,0,60.0,1,1,79.2,1,0,0
330,331,3,1,,2,0,23.25,0,1,0
568,569,3,0,,0,0,7.2292,1,0,0
724,725,1,0,27.0,1,0,53.1,0,0,1
99,100,2,0,34.0,1,0,26.0,0,0,1
707,708,1,0,42.0,0,0,26.2875,0,0,1
276,277,3,1,45.0,0,0,7.75,0,0,1
417,418,2,1,18.0,0,2,13.0,0,0,1
462,463,1,0,47.0,0,0,38.5,0,0,1
664,665,3,0,20.0,1,0,7.925,0,0,1
717,718,2,1,27.0,0,0,10.5,0,0,1
849,850,1,1,,1,0,89.1042,1,0,0
515,516,1,0,47.0,0,0,34.0208,0,0,1
632,633,1,0,32.0,0,0,30.5,1,0,0
537,538,1,1,30.0,0,0,106.425,1,0,0
150,151,2,0,51.0,0,0,12.525,0,0,1
78,79,2,0,0.83,0,2,29.0,0,0,1
9,10,2,1,14.0,1,0,30.0708,1,0,0
142,143,3,1,24.0,1,0,15.85,0,0,1
75,76,3,0,25.0,0,0,7.65,0,0,1
253,254,3,0,30.0,1,0,16.1,0,0,1
29,30,3,0,,0,0,7.8958,0,0,1
169,170,3,0,28.0,0,0,56.4958,0,0,1
746,747,3,0,16.0,1,1,20.25,0,0,1
211,212,2,1,35.0,0,0,21.0,0,0,1
635,636,2,1,28.0,0,0,13.0,0,0,1
688,689,3,0,18.0,0,0,7.7958,0,0,1
599,600,1,0,49.0,1,0,56.9292,1,0,0
422,423,3,0,29.0,0,0,7.875,0,0,1
58,59,2,1,5.0,1,2,27.75,0,0,1
503,504,3,1,37.0,0,0,9.5875,0,0,1
351,352,1,0,,0,0,35.0,0,0,1
541,542,3,1,9.0,4,2,31.275,0,0,1
88,89,1,1,23.0,3,2,263.0,0,0,1
432,433,2,1,42.0,1,0,26.0,0,0,1
565,566,3,0,24.0,2,0,24.15,0,0,1
501,502,3,1,21.0,0,0,7.75,0,1,0
127,128,3,0,24.0,0,0,7.1417,0,0,1
687,688,3,0,19.0,0,0,10.1708,0,0,1
328,329,3,1,31.0,1,1,20.525,0,0,1
844,845,3,0,17.0,0,0,8.6625,0,0,1
885,886,3,1,39.0,0,5,29.125,0,1,0
580,581,2,1,25.0,1,1,30.0,0,0,1
567,568,3,1,29.0,0,4,21.075,0,0,1
151,152,1,1,22.0,1,0,66.6,0,0,1
341,342,1,1,24.0,3,2,263.0,0,0,1
271,272,3,0,25.0,0,0,0.0,0,0,1
736,737,3,1,48.0,1,3,34.375,0,0,1
699,700,3,0,42.0,0,0,7.65,0,0,1
290,291,1,1,26.0,0,0,78.85,0,0,1
140,141,3,1,,0,2,15.2458,1,0,0
260,261,3,0,,0,0,7.75,0,1,0
162,163,3,0,26.0,0,0,7.775,0,0,1
231,232,3,0,29.0,0,0,7.775,0,0,1
801,802,2,1,31.0,1,1,26.25,0,0,1
843,844,3,0,34.5,0,0,6.4375,1,0,0
690,691,1,0,31.0,1,0,57.0,0,0,1
648,649,3,0,,0,0,7.55,0,0,1
136,137,1,1,19.0,0,2,26.2833,0,0,1
569,570,3,0,32.0,0,0,7.8542,0,0,1
861,862,2,0,21.0,1,0,11.5,0,0,1
444,445,3,0,,0,0,8.1125,0,0,1
696,697,3,0,44.0,0,0,8.05,0,0,1
673,674,2,0,31.0,0,0,13.0,0,0,1
747,748,2,1,30.0,0,0,13.0,0,0,1
366,367,1,1,60.0,1,0,75.25,1,0,0
625,626,1,0,61.0,0,0,32.3208,0,0,1
740,741,1,0,,0,0,30.0,0,0,1
820,821,1,1,52.0,1,1,93.5,0,0,1
281,282,3,0,28.0,0,0,7.8542,0,0,1
545,546,1,0,64.0,0,0,26.0,0,0,1
236,237,2,0,44.0,1,0,26.0,0,0,1
15,16,2,1,55.0,0,0,16.0,0,0,1
564,565,3,1,,0,0,8.05,0,0,1
797,798,3,1,31.0,0,0,8.6833,0,0,1
739,740,3,0,,0,0,7.8958,0,0,1
548,549,3,0,33.0,1,1,20.525,0,0,1
662,663,1,0,47.0,0,0,25.5875,0,0,1
481,482,2,0,,0,0,0.0,0,0,1
112,113,3,0,22.0,0,0,8.05,0,0,1
457,458,1,1,,1,0,51.8625,0,0,1
841,842,2,0,16.0,0,0,10.5,0,0,1
517,518,3,0,,0,0,24.15,0,1,0
552,553,3,0,,0,0,7.8292,0,1,0
387,388,2,1,36.0,0,0,13.0,0,0,1
513,514,1,1,54.0,1,0,59.4,1,0,0
559,560,3,1,36.0,1,0,17.4,0,0,1
700,701,1,1,18.0,1,0,227.525,1,0,0
240,241,3,1,,1,0,14.4542,1,0,0
427,428,2,1,19.0,0,0,26.0,0,0,1
592,593,3,0,47.0,0,0,7.25,0,0,1
115,116,3,0,21.0,0,0,7.925,0,0,1
685,686,2,0,25.0,1,2,41.5792,1,0,0
154,155,3,0,,0,0,7.3125,0,0,1
307,308,1,1,17.0,1,0,108.9,1,0,0
764,765,3,0,16.0,0,0,7.775,0,0,1
596,597,2,1,,0,0,33.0,0,0,1
241,242,3,1,,1,0,15.5,0,1,0
822,823,1,0,38.0,0,0,0.0,0,0,1
379,380,3,0,19.0,0,0,7.775,0,0,1
335,336,3,0,,0,0,7.8958,0,0,1
487,488,1,0,58.0,0,0,29.7,1,0,0
671,672,1,0,31.0,1,0,52.0,0,0,1
790,791,3,0,,0,0,7.75,0,1,0
339,340,1,0,45.0,0,0,35.5,0,0,1
878,879,3,0,,0,0,7.8958,0,0,1
463,464,2,0,48.0,0,0,13.0,0,0,1
716,717,1,1,38.0,0,0,227.525,1,0,0
342,343,2,0,28.0,0,0,13.0,0,0,1
275,276,1,1,63.0,1,0,77.9583,0,0,1
529,530,2,0,23.0,2,1,11.5,0,0,1
860,861,3,0,41.0,2,0,14.1083,0,0,1
7,8,3,0,2.0,3,1,21.075,0,0,1
840,841,3,0,20.0,0,0,7.925,0,0,1
230,231,1,1,35.0,1,0,83.475,0,0,1
337,338,1,1,41.0,0,0,134.5,1,0,0
285,286,3,0,33.0,0,0,8.6625,1,0,0
380,381,1,1,42.0,0,0,227.525,1,0,0
467,468,1,0,56.0,0,0,26.55,0,0,1
837,838,3,0,,0,0,8.05,0,0,1
741,742,1,0,36.0,1,0,78.85,0,0,1
616,617,3,0,34.0,1,1,14.4,0,0,1
484,485,1,0,25.0,1,0,91.0792,1,0,0
436,437,3,1,21.0,2,2,34.375,0,0,1
884,885,3,0,25.0,0,0,7.05,0,0,1
27,28,1,0,19.0,3,2,263.0,0,0,1
750,751,2,1,4.0,1,1,23.0,0,0,1
96,97,1,0,71.0,0,0,34.6542,1,0,0
5,6,3,0,,0,0,8.4583,0,1,0
270,271,1,0,,0,0,31.0,0,0,1
300,301,3,1,,0,0,7.75,0,1,0
365,366,3,0,30.0,0,0,7.25,0,0,1
199,200,2,1,24.0,0,0,13.0,0,0,1
775,776,3,0,18.0,0,0,7.75,0,0,1
177,178,1,1,50.0,0,0,28.7125,1,0,0
727,728,3,1,,0,0,7.7375,0,1,0
166,167,1,1,,0,1,55.0,0,0,1
868,869,3,0,,0,0,9.5,0,0,1
312,313,2,1,26.0,1,1,26.0,0,0,1
284,285,1,0,,0,0,26.0,0,0,1
494,495,3,0,21.0,0,0,8.05,0,0,1
32,33,3,1,,0,0,7.75,0,1,0
416,417,2,1,34.0,1,1,32.5,0,0,1
886,887,2,0,27.0,0,0,13.0,0,0,1
558,559,1,1,39.0,1,1,79.65,0,0,1
805,806,3,0,31.0,0,0,7.775,0,0,1
293,294,3,1,24.0,0,0,8.85,0,0,1
208,209,3,1,16.0,0,0,7.75,0,1,0
84,85,2,1,17.0,0,0,10.5,0,0,1
37,38,3,0,21.0,0,0,8.05,0,0,1
6,7,1,0,54.0,0,0,51.8625,0,0,1
425,426,3,0,,0,0,7.25,0,0,1
789,790,1,0,46.0,0,0,79.2,1,0,0
388,389,3,0,,0,0,7.7292,0,1,0
257,258,1,1,30.0,0,0,86.5,0,0,1
642,643,3,1,2.0,3,2,27.9,0,0,1
354,355,3,0,,0,0,7.225,1,0,0
829,830,1,1,62.0,0,0,80.0,0,0,0
780,781,3,1,13.0,0,0,7.2292,1,0,0
266,267,3,0,16.0,4,1,39.6875,0,0,1
505,506,1,0,18.0,1,0,108.9,1,0,0
51,52,3,0,21.0,0,0,7.8,0,0,1
400,401,3,0,39.0,0,0,7.925,0,0,1
532,533,3,0,17.0,1,1,7.2292,1,0,0
282,283,3,0,16.0,0,0,9.5,0,0,1
441,442,3,0,20.0,0,0,9.5,0,0,1
360,361,3,0,40.0,1,4,27.9,0,0,1
839,840,1,0,,0,0,29.7,1,0,0
508,509,3,0,28.0,0,0,22.525,0,0,1
120,121,2,0,21.0,2,0,73.5,0,0,1
319,320,1,1,40.0,1,1,134.5,1,0,0
857,858,1,0,51.0,0,0,26.55,0,0,1
500,501,3,0,17.0,0,0,8.6625,0,0,1
90,91,3,0,29.0,0,0,8.05,0,0,1
726,727,2,1,30.0,3,0,21.0,0,0,1
670,671,2,1,40.0,1,1,39.0,0,0,1
455,456,3,0,29.0,0,0,7.8958,1,0,0
426,427,2,1,28.0,1,0,26.0,0,0,1
62,63,1,0,45.0,1,0,83.475,0,0,1
50,51,3,0,7.0,4,1,39.6875,0,0,1
453,454,1,0,49.0,1,0,89.1042,1,0,0
393,394,1,1,23.0,1,0,113.275,1,0,0
187,188,1,0,45.0,0,0,26.55,0,0,1
367,368,3,1,,0,0,7.2292,1,0,0
758,759,3,0,34.0,0,0,8.05,0,0,1
803,804,3,0,0.42,0,1,8.5167,1,0,0
509,510,3,0,26.0,0,0,56.4958,0,0,1
787,788,3,0,8.0,4,1,29.125,0,1,0
297,298,1,1,2.0,1,2,151.55,0,0,1
91,92,3,0,20.0,0,0,7.8542,0,0,1
753,754,3,0,23.0,0,0,7.8958,0,0,1
546,547,2,1,19.0,1,0,26.0,0,0,1
491,492,3,0,21.0,0,0,7.25,0,0,1
1,2,1,1,38.0,1,0,71.2833,1,0,0
776,777,3,0,,0,0,7.75,0,1,0
472,473,2,1,33.0,1,2,27.75,0,0,1
251,252,3,1,29.0,1,1,10.4625,0,0,1
92,93,1,0,46.0,1,0,61.175,0,0,1
634,635,3,1,9.0,3,2,27.9,0,0,1
43,44,2,1,3.0,1,2,41.5792,1,0,0
834,835,3,0,18.0,0,0,8.3,0,0,1
47,48,3,1,,0,0,7.75,0,1,0
890,891,3,0,32.0,0,0,7.75,0,1,0
263,264,1,0,40.0,0,0,0.0,0,0,1
355,356,3,0,28.0,0,0,9.5,0,0,1
527,528,1,0,,0,0,221.7792,0,0,1
338,339,3,0,45.0,0,0,8.05,0,0,1
779,780,1,1,43.0,0,1,211.3375,0,0,1
20,21,2,0,35.0,0,0,26.0,0,0,1
722,723,2,0,34.0,0,0,13.0,0,0,1
676,677,3,0,24.5,0,0,8.05,0,0,1
348,349,3,0,3.0,1,1,15.9,0,0,1
816,817,3,1,23.0,0,0,7.925,0,0,1
333,334,3,0,16.0,2,0,18.0,0,0,1
469,470,3,1,0.75,2,1,19.2583,1,0,0
129,130,3,0,45.0,0,0,6.975,0,0,1
190,191,2,1,32.0,0,0,13.0,0,0,1
759,760,1,1,33.0,0,0,86.5,0,0,1
519,520,3,0,32.0,0,0,7.8958,0,0,1
66,67,2,1,29.0,0,0,10.5,0,0,1
486,487,1,1,35.0,1,0,90.0,0,0,1
18,19,3,1,31.0,1,0,18.0,0,0,1
701,702,1,0,35.0,0,0,26.2875,0,0,1
825,826,3,0,,0,0,6.95,0,1,0
332,333,1,0,38.0,0,1,153.4625,0,0,1
854,855,2,1,44.0,1,0,26.0,0,0,1
440,441,2,1,45.0,1,1,26.25,0,0,1
774,775,2,1,54.0,1,3,23.0,0,0,1
674,675,2,0,,0,0,0.0,0,0,1
551,552,2,0,27.0,0,0,26.0,0,0,1
55,56,1,0,,0,0,35.5,0,0,1
652,653,3,0,21.0,0,0,8.4333,0,0,1
848,849,2,0,28.0,0,1,33.0,0,0,1
729,730,3,1,25.0,1,0,7.925,0,0,1
232,233,2,0,59.0,0,0,13.5,0,0,1
659,660,1,0,58.0,0,2,113.275,1,0,0
242,243,2,0,29.0,0,0,10.5,0,0,1
35,36,1,0,42.0,1,0,52.0,0,0,1
540,541,1,1,36.0,0,2,71.0,0,0,1
718,719,3,0,,0,0,15.5,0,1,0
751,752,3,0,6.0,0,1,12.475,0,0,1
887,888,1,1,19.0,0,0,30.0,0,0,1
121,122,3,0,,0,0,8.05,0,0,1
410,411,3,0,,0,0,7.8958,0,0,1
352,353,3,0,15.0,1,1,7.2292,1,0,0
33,34,2,0,66.0,0,0,10.5,0,0,1
179,180,3,0,36.0,0,0,0.0,0,0,1
645,646,1,0,48.0,1,0,76.7292,1,0,0
818,819,3,0,43.0,0,0,6.45,0,0,1
21,22,2,0,34.0,0,0,13.0,0,0,1
411,412,3,0,,0,0,6.8583,0,1,0
421,422,3,0,21.0,0,0,7.7333,0,1,0
583,584,1,0,36.0,0,0,40.125,1,0,0
728,729,2,0,25.0,1,0,26.0,0,0,1
812,813,2,0,35.0,0,0,10.5,0,0,1
561,562,3,0,40.0,0,0,7.8958,0,0,1
331,332,1,0,45.5,0,0,28.5,0,0,1
340,341,2,0,2.0,1,1,26.0,0,0,1
246,247,3,1,25.0,0,0,7.775,0,0,1
126,127,3,0,,0,0,7.75,0,1,0
323,324,2,1,22.0,1,1,29.0,0,0,1
397,398,2,0,46.0,0,0,26.0,0,0,1
45,46,3,0,,0,0,8.05,0,0,1
64,65,1,0,,0,0,27.7208,1,0,0
261,262,3,0,3.0,4,2,31.3875,0,0,1
371,372,3,0,18.0,1,0,6.4958,0,0,1
375,376,1,1,,1,0,82.1708,1,0,0
675,676,3,0,18.0,0,0,7.775,0,0,1
470,471,3,0,,0,0,7.25,0,0,1
209,210,1,0,40.0,0,0,31.0,1,0,0
732,733,2,0,,0,0,0.0,0,0,1
80,81,3,0,22.0,0,0,9.0,0,0,1
608,609,2,1,22.0,1,2,41.5792,1,0,0
873,874,3,0,47.0,0,0,9.0,0,0,1
434,435,1,0,50.0,1,0,55.9,0,0,1
766,767,1,0,,0,0,39.6,1,0,0
767,768,3,1,30.5,0,0,7.75,0,1,0
167,168,3,1,45.0,1,4,27.9,0,0,1
708,709,1,1,22.0,0,0,151.55,0,0,1
326,327,3,0,61.0,0,0,6.2375,0,0,1
842,843,1,1,30.0,0,0,31.0,1,0,0
210,211,3,0,24.0,0,0,7.05,0,0,1
158,159,3,0,,0,0,8.6625,0,0,1
377,378,1,0,27.0,0,2,211.5,1,0,0
777,778,3,1,5.0,0,0,12.475,0,0,1
456,457,1,0,65.0,0,0,26.55,0,0,1
768,769,3,0,,1,0,24.15,0,1,0
361,362,2,0,29.0,1,0,27.7208,1,0,0
654,655,3,1,18.0,0,0,6.75,0,1,0
697,698,3,1,,0,0,7.7333,0,1,0
443,444,2,1,28.0,0,0,13.0,0,0,1
202,203,3,0,34.0,0,0,6.4958,0,0,1
605,606,3,0,36.0,1,0,15.55,0,0,1
672,673,2,0,70.0,0,0,10.5,0,0,1
845,846,3,0,42.0,0,0,7.55,0,0,1
373,374,1,0,22.0,0,0,135.6333,1,0,0
666,667,2,0,25.0,0,0,13.0,0,0,1
60,61,3,0,22.0,0,0,7.2292,1,0,0
641,642,1,1,24.0,0,0,69.3,1,0,0
468,469,3,0,,0,0,7.725,0,1,0
791,792,2,0,16.0,0,0,26.0,0,0,1
464,465,3,0,,0,0,8.05,0,0,1
550,551,1,0,17.0,0,2,110.8833,1,0,0
522,523,3,0,,0,0,7.225,1,0,0
368,369,3,1,,0,0,7.75,0,1,0
863,864,3,1,,8,2,69.55,0,0,1
838,839,3,0,32.0,0,0,56.4958,0,0,1
589,590,3,0,,0,0,8.05,0,0,1
8,9,3,1,27.0,0,2,11.1333,0,0,1
504,505,1,1,16.0,0,0,86.5,0,0,1
571,572,1,1,53.0,2,0,51.4792,0,0,1
234,235,2,0,24.0,0,0,10.5,0,0,1
344,345,2,0,36.0,0,0,13.0,0,0,1
713,714,3,0,29.0,0,0,9.4833,0,0,1
476,477,2,0,34.0,1,0,21.0,0,0,1
586,587,2,0,47.0,0,0,15.0,0,0,1
629,630,3,0,,0,0,7.7333,0,1,0
132,133,3,1,47.0,1,0,14.5,0,0,1
26,27,3,0,,0,0,7.225,1,0,0
611,612,3,0,,0,0,7.05,0,0,1
291,292,1,1,19.0,1,0,91.0792,1,0,0
292,293,2,0,36.0,0,0,12.875,1,0,0
39,40,3,1,14.0,1,0,11.2417,1,0,0
204,205,3,0,18.0,0,0,8.05,0,0,1
831,832,2,0,0.83,1,1,18.75,0,0,1
715,716,3,0,19.0,0,0,7.65,0,0,1
595,596,3,0,36.0,1,1,24.15,0,0,1
343,344,2,0,25.0,0,0,13.0,0,0,1
686,687,3,0,14.0,4,1,39.6875,0,0,1
661,662,3,0,40.0,0,0,7.225,1,0,0
65,66,3,0,,1,1,15.2458,1,0,0
819,820,3,0,10.0,3,2,27.9,0,0,1
864,865,2,0,24.0,0,0,13.0,0,0,1
322,323,2,1,30.0,0,0,12.35,0,1,0
357,358,2,1,38.0,0,0,13.0,0,0,1
128,129,3,1,,1,1,22.3583,1,0,0
165,166,3,0,9.0,0,2,20.525,0,0,1
798,799,3,0,30.0,0,0,7.2292,1,0,0
769,770,3,0,32.0,0,0,8.3625,0,0,1
784,785,3,0,25.0,0,0,7.05,0,0,1
398,399,2,0,23.0,0,0,10.5,0,0,1
745,746,1,0,70.0,1,1,71.0,0,0,1
497,498,3,0,,0,0,15.1,0,0,1
296,297,3,0,23.5,0,0,7.2292,1,0,0
294,295,3,0,24.0,0,0,7.8958,0,0,1
544,545,1,0,50.0,1,0,106.425,1,0,0
754,755,2,1,48.0,1,2,65.0,0,0,1
304,305,3,0,,0,0,8.05,0,0,1
681,682,1,0,27.0,0,0,76.7292,1,0,0
123,124,2,1,32.5,0,0,13.0,0,0,1
498,499,1,1,25.0,1,2,151.55,0,0,1
869,870,3,0,4.0,1,1,11.1333,0,0,1
71,72,3,1,16.0,5,2,46.9,0,0,1
119,120,3,1,2.0,4,2,31.275,0,0,1
324,325,3,0,,8,2,69.55,0,0,1
382,383,3,0,32.0,0,0,7.925,0,0,1
627,628,1,1,21.0,0,0,77.9583,0,0,1
743,744,3,0,24.0,1,0,16.1,0,0,1
683,684,3,0,14.0,5,2,46.9,0,0,1
597,598,3,0,49.0,0,0,0.0,0,0,1
865,866,2,1,42.0,0,0,13.0,0,0,1
52,53,1,1,49.0,1,0,76.7292,1,0,0
731,732,3,0,11.0,0,0,18.7875,1,0,0
305,306,1,0,0.92,1,2,151.55,0,0,1
139,140,1,0,24.0,0,0,79.2,1,0,0
813,814,3,1,6.0,4,2,31.275,0,0,1
309,310,1,1,30.0,0,0,56.9292,1,0,0
70,71,2,0,32.0,0,0,10.5,0,0,1
528,529,3,0,39.0,0,0,7.925,0,0,1
465,466,3,0,38.0,0,0,7.05,0,0,1
318,319,1,1,31.0,0,2,164.8667,0,0,1
258,259,1,1,35.0,0,0,512.3292,1,0,0
113,114,3,1,20.0,1,0,9.825,0,0,1
624,625,3,0,21.0,0,0,16.1,0,0,1
554,555,3,1,22.0,0,0,7.775,0,0,1
356,357,1,1,22.0,0,1,55.0,0,0,1
836,837,3,0,21.0,0,0,8.6625,0,0,1
83,84,1,0,28.0,0,0,47.1,0,0,1
183,184,2,0,1.0,2,1,39.0,0,0,1
182,183,3,0,9.0,4,2,31.3875,0,0,1
144,145,2,0,18.0,0,0,11.5,0,0,1
858,859,3,1,24.0,0,3,19.2583,1,0,0
298,299,1,0,,0,0,30.5,0,0,1
657,658,3,1,32.0,1,1,15.5,0,1,0
506,507,2,1,33.0,0,2,26.0,0,0,1
691,692,3,1,4.0,0,1,13.4167,1,0,0
87,88,3,0,,0,0,8.05,0,0,1
313,314,3,0,28.0,0,0,7.8958,0,0,1
799,800,3,1,30.0,1,1,24.15,0,0,1
613,614,3,0,,0,0,7.75,0,1,0
11,12,1,1,58.0,0,0,26.55,0,0,1
770,771,3,0,24.0,0,0,9.5,0,0,1
364,365,3,0,,1,0,15.5,0,1,0
875,876,3,1,15.0,0,0,7.225,1,0,0
194,195,1,1,44.0,0,0,27.7208,1,0,0
593,594,3,1,,0,2,7.75,0,1,0
653,654,3,1,,0,0,7.8292,0,1,0
401,402,3,0,26.0,0,0,8.05,0,0,1
82,83,3,1,,0,0,7.7875,0,1,0
668,669,3,0,43.0,0,0,8.05,0,0,1
877,878,3,0,19.0,0,0,7.8958,0,0,1
832,833,3,0,,0,0,7.2292,1,0,0
74,75,3,0,32.0,0,0,56.4958,0,0,1
721,722,3,0,17.0,1,0,7.0542,0,0,1
250,251,3,0,,0,0,7.25,0,0,1
237,238,2,1,8.0,0,2,26.25,0,0,1
145,146,2,0,19.0,1,1,36.75,0,0,1
807,808,3,1,18.0,0,0,7.775,0,0,1
130,131,3,0,33.0,0,0,7.8958,1,0,0
575,576,3,0,19.0,0,0,14.5,0,0,1
514,515,3,0,24.0,0,0,7.4958,0,0,1
846,847,3,0,,8,2,69.55,0,0,1
